college_name,score_type,seat_type,branch,max,min,Max Rank,Min Rank
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OPEN,Computer Engineering,100,99.8298435,1,509
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OPEN,Computer Engineering,99.9952734,99.8176145,13,546
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OPEN,Information Technology,99.8720682,99.6872778,382,937
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,OPEN,Computer Engineering,100,99.5506787,1,1346
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OBC,Computer Engineering,99.7353121,99.5918763,793,1223
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OPEN,Information Technology,99.7299218,99.5200383,809,1438
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OBC,Information Technology,99.6625855,99.5735607,1011,1278
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OBC,Computer Engineering,99.5887885,99.4658978,1232,1601
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,OPEN,Computer Engineering,99.7327762,99.3993283,800,1801
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,99.6642989,99.344087,1006,1966
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,99.4881273,99.352924,1534,1940
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,OBC,Computer Engineering,99.5887885,99.1691769,1232,2491
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",MHT-CET,OPEN,Computer Engineering,99.5403932,98.9954986,1377,3012
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OBC,Information Technology,99.3335539,99.0665719,1998,2799
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,99.2532022,99.0665719,2239,2799
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,OBC,Computer Engineering,99.3175031,98.8479706,2046,3455
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,99.0258505,98.7137029,2921,3857
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,SC,Computer Engineering,99.2760664,98.5259964,2170,4421
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",MHT-CET,OPEN,Computer Engineering,99.1089625,98.4671602,2672,4597
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OPEN,Electrical Engineering,98.9547367,98.543253,3134,4369
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",MHT-CET,OPEN,Information Technology,99.3023917,98.4625863,2091,4611
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OPEN,Electrical Engineering,99.2153897,98.4461129,2352,4660
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,99.352924,98.2085548,1940,5373
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,OPEN,Computer Engineering,98.663881,98.663881,4007,4007
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",MHT-CET,MI,Computer Engineering,99.648823,97.9803335,1052,6058
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,SC,Information Technology,98.907889,98.3393328,3275,4981
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,OPEN,Computer Engineering,99.2418858,98.0441763,2273,5866
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Computer Engineering,99.2760664,97.3626686,2170,7911
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,OPEN,Computer Engineering,98.9291637,97.6366742,3211,7089
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",MHT-CET,OPEN,Information Technology,98.5828712,97.964123,4250,6106
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Computer Engineering,99.5295571,97.6403619,1410,7077
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,99.0258505,97.8065754,2921,6579
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,OBC,Electrical Engineering,98.4671602,98.0374453,4597,5886
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,SC,Computer Engineering,98.4305255,97.8663752,4707,6399
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,SC,Computer Engineering,98.5181226,97.4595952,4444,7620
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,98.323778,97.4601522,5027,7618
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,OPEN,Computer Engineering,98.134292,97.6043574,5596,7185
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,OPEN,Information Technology,98.4160917,97.5358274,4750,7391
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,SC,Information Technology,97.8065754,97.2283971,6579,8313
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,MI-MH,Information Technology,97.5329973,97.4624596,7400,7611
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,SC,Electronics and Telecommunication Engg,97.8787583,96.8186638,6362,9543
